event_id,Item,Totals,Item Note
22524,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22519,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22634,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22637,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22617,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22618,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22616,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
22485,Foam insulation & packaging (whole and remnants),1,1 x polystyrene balls
22488,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23124,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23128,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23134,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23156,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23078,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23112,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
23232,Foam insulation & packaging (whole and remnants),1,1 x polystyrene ball
