item_code_id,mat,item.type,item.ex,Dispersive.capacity,LS,Activity.group,Mode
659,Rubber,Rubber scrap,"Rubber buffers, tyres, seals & similar",Limited Dispersion,Sea,Dumping (at sea),Dumping
636,Hard & soft plastic,Plastic scrap,"Plastic gardening items, implements & fittings",Limited Dispersion,Land,Dumping (Land),Dumping
637,Hard & soft plastic,Large plastic,"Plastic housewares, tablewares, house fittings",Limited Dispersion,Land,Dumping (Land),Dumping
635,Hard & soft plastic,Plastic recreational,Plastic furniture outdoor & camping,Limited Dispersion,Land,Dumping (Land),Dumping
570,Hard & soft plastic,Fishing (Plastic),Fishing line in metres (Recreation),Limited Dispersion,Sea,Fishing (Recreational),Fishing
573,Metal,Fishing (Metal),"Metal Fishing Items (Sinkers, lures, hooks, traps, pots)",Limited Dispersion,Sea,Fishing (Recreational),Fishing
5,Metal,Metal Can,Aluminium cans,Limited Dispersion,Land,Littering (Public),Litter
678,Metal,Metal Can,"Tins under 4 litres (food, drink tins and similar)",Limited Dispersion,Land,Littering (Public),Litter
615,Paper,Newspaper,"Newspaper, magazines & brochures",Limited Dispersion,Land,Littering (Public),Litter
616,Paper,Paper packaging,Paper & cardboard packaging,Limited Dispersion,Land,Littering (Public),Litter
617,Paper,Paper scrap,"Miscellaneous paper, labels & tickets",Limited Dispersion,Land,Littering (Public),Litter
58,Hard & soft plastic,Drug paraphernalia,Drug paraphernalia,Limited Dispersion,Land,Littering (Public),Litter
559,Hard & soft plastic,Cigarette,Cigarette butts & filters,Limited Dispersion,Land,Littering (Public),Litter
623,Hard & soft plastic,Plastic bag,"Plastic bags supermarket, garbage, dog poo, ice",Limited Dispersion,Land,Littering (Public),Litter
634,Hard & soft plastic,Medical waste,Plastic first aid materials & equipment (band aids),Limited Dispersion,Land,Medical waste,Litter
605,Metal,Metal scrap,Metal scrap & remnants,Limited Dispersion,Land,Unknown,Dumping
668,Other,Other,"Soap, dry lubricant & glue",Limited Dispersion,Land,Unknown,Litter
540,Hard & soft plastic,Aquaculture items,Aquaculture items,Unencumbered Drift,Sea,Dumping (at sea),Abandonment
583,Metal,Gas bottles,Gas bottles,Unencumbered Drift,Sea,Dumping (at sea),Dumping
640,Hard & soft plastic,Plastic container,Plastic oddments,Unencumbered Drift,Land,Dumping (Land),Dumping
679,Hard & soft plastic,Plastic brush,"Toothbrushes, brushes & combs, hair ties etc",Unencumbered Drift,Land,Dumping (Land),Dumping
666,Hard & soft plastic,Plastic cartridge,Shotgun cartridges and wadding,Unencumbered Drift,Sea,Fishing (Commercial),Litter
651,Hard & soft plastic,Fishing (Plastic),"Recreation fishing items (lures, floats, rods, reels)",Unencumbered Drift,Sea,Fishing (Recreational),Fishing
585,Glass & ceramic,Glass bottle,Glass jars & sauce bottles,Unencumbered Drift,Land,Littering (Public),Litter
587,Glass & ceramic,Glass bottle,"Glass wine, spirit and similar bottles",Unencumbered Drift,Land,Littering (Public),Litter
554,Paper,Drink carton,Tetra packs & drink cartons,Unencumbered Drift,Land,Littering (Public),Litter
592,Hard & soft plastic,Plastic lids,"Lids & tops, pump spray, flow restrictor & similar",Unencumbered Drift,Land,Littering (Public),Litter
614,Hard & soft plastic,Plastic scrap,"Packaging accessories (seals, reels, spools, handles)",Unencumbered Drift,Land,Littering (Public),Litter
660,Rubber,Rubber footwear,Rubber footwear & thongs,Unencumbered Drift,Land,Littering (Public),Litter
674,Hard & soft plastic,Medical waste,Syringes medical,Unencumbered Drift,Land,Medical waste,Litter
675,Hard & soft plastic,Medical waste,Syringes veterinary,Unencumbered Drift,Land,Medical waste,Dumping
569,Hard & soft plastic,Fibreglass,Fibreglass fragments,Unencumbered Drift,Land,Unknown,Dumping
624,Hard & soft plastic,Plastic scrap,Plastic bits & pieces hard & solid,Unencumbered Drift,Unknown,Unknown,Litter
652,Hard & soft plastic,Plastic scrap,Remnants burnt plastic,Unencumbered Drift,Land,Unknown,Indwaste
658,Rubber,Rubber scrap,"Rubber balloons, balls & toys, elastic straps & bands",Unencumbered Drift,Land,Unknown,Litter
661,Rubber,Rubber scrap,Rubber remnants,Unencumbered Drift,Unknown,Unknown,Dumping
627,Hard & soft plastic,Plastic container,"Plastic containers non food (oil, sealant, chemical)",Very Mobile,Land,Building & Construction,Dumping
4,Metal,Metal Can,Aerosol cans,Very Mobile,Sea,Dumping (at sea),Litter
546,Hard & soft plastic,Plastic bottle,Bleach & cleaner bottles,Very Mobile,Sea,Dumping (at sea),Litter
689,Hard & soft plastic,Plastic bottles,"Plastic bottles, drums, jerrycans & buckets over 4 litres",Very Mobile,Sea,Dumping (at sea),Dumping
522,Hard & soft plastic,Plastic bottle,Bleach bottle KKK type,Very Mobile,Sea,Fishing (Commercial),Litter
577,Expanded plastics,Foam,"Foam cups, food packs & trays",Very Mobile,Land,Littering (Public),Litter
582,Metal,Metal Can,Gas & volatile liquid capsules & cans,Very Mobile,Land,Littering (Public),Litter
38,Hard & soft plastic,Cigarette lighters,Cigarette lighters,Very Mobile,Land,Littering (Public),Litter
619,Hard & soft plastic,Plastic packaging,Personal care & pharmaceutical packaging,Very Mobile,Land,Littering (Public),Litter
628,Hard & soft plastic,Plastic bottle,"Plastic drink bottles (water, juice, milk, soft drink)",Very Mobile,Land,Littering (Public),Litter
671,Hard & soft plastic,Single-use,"Straws, confection sticks, cups, plates & cutlery",Very Mobile,Land,Littering (Public),Litter
690,Expanded plastics,Weather balloon,Weather balloon parts,Very Mobile,Sea,Research Activities,Abandonment
578,Expanded plastics,Foam,Foam insulation & packaging (whole and remnants),Very Mobile,Unknown,Unknown,Indwaste
LSTD1,Hard & soft plastic,Microplastic,Pollution Rating,,,,
LSTD2,Glass & ceramic,Construction (ceramic),"Building & trades materials, fixings & fittings",Does Not Disperse,Land,Building & Construction,Dumping
LSTD3,Metal,Misc,"Appliances, electronics & batteries",Encumbered Drift,Land,Dumping (Land),Dumping
LSTD4,Other,Organic,Organic materials,Encumbered Drift,Land,Littering (Public),Litter
LSTD5,Hard & soft plastic,Plastic container,Container contents intact & spilt content,Very Mobile,Land,Building & Construction,Dumping
